sku,tp,final_mrp_old,margin
Os115_XL,425.00,1995.00,1570.00
Os115_2XL,425.00,1995.00,1570.00
Os115_3XL,425.00,1995.00,1570.00
Os127_S,425.00,1995.00,1570.00
Os127_M,425.00,1995.00,1570.00
Os127_L,425.00,1995.00,1570.00
Os127_XL,425.00,1995.00,1570.00
Os127_2XL,425.00,1995.00,1570.00
Os127_3XL,425.00,1995.00,1570.00
Os163_2XLL,425.00,1995.00,1570.00
Os1060_S,950.00,2495.00,1545.00
Os1060_M,950.00,2495.00,1545.00
Os1060_L,950.00,2495.00,1545.00
Os1060_XL,950.00,2495.00,1545.00
Os1060_2XL,950.00,2495.00,1545.00
Os1060_3XL,950.00,2495.00,1545.00
Os1137_S,1150.00,2695.00,1545.00
Os1137_M,1150.00,2695.00,1545.00
Os1137_L,1150.00,2695.00,1545.00
Os1137_XL,1150.00,2695.00,1545.00
Os1137_2XL,1150.00,2695.00,1545.00
Os1137_3XL,1150.00,2695.00,1545.00
Os1144_S,1150.00,2695.00,1545.00
Os1144_M,1150.00,2695.00,1545.00
Os1144_L,1150.00,2695.00,1545.00
Os1144_XL,1150.00,2695.00,1545.00
Os1144_2XL,1150.00,2695.00,1545.00
Os1144_3XL,1150.00,2695.00,1545.00
Os1071_S,950.00,2495.00,1545.00
Os1071_M,950.00,2495.00,1545.00
Os1071_L,950.00,2495.00,1545.00
Os1071_XL,950.00,2495.00,1545.00
Os1071_2XL,950.00,2495.00,1545.00
Os1071_3XL,950.00,2495.00,1545.00
Os1068_S,950.00,2495.00,1545.00
Os1068_M,950.00,2495.00,1545.00
Os1068_L,950.00,2495.00,1545.00
Os1068_XL,950.00,2495.00,1545.00
Os1068_2XL,950.00,2495.00,1545.00
Os1068_3XL,950.00,2495.00,1545.00
Os1147_S,1150.00,2695.00,1545.00
Os1147_M,1150.00,2695.00,1545.00
Os1147_L,1150.00,2695.00,1545.00
Os1147_XL,1150.00,2695.00,1545.00
Os1147_2XL,1150.00,2695.00,1545.00
Os1147_3XL,1150.00,2695.00,1545.00
Os211_3011_S,467.00,1995.00,1528.00
Os211_3011_M,467.00,1995.00,1528.00
Os211_3011_L,467.00,1995.00,1528.00
Os211_3011_XL,467.00,1995.00,1528.00
Os211_3011_2XL,467.00,1995.00,1528.00
Os211_3011_3XL,467.00,1995.00,1528.00
Os326_XS,467.00,1995.00,1528.00
Os326_S,467.00,1995.00,1528.00
Os326_M,467.00,1995.00,1528.00
Os326_L,467.00,1995.00,1528.00
Os326_XL,467.00,1995.00,1528.00
Os326_2XL,467.00,1995.00,1528.00
Os326_3XL,467.00,1995.00,1528.00
Os165_S,385.00,1895.00,1510.00
Os165_M,385.00,1895.00,1510.00
Os165_L,385.00,1895.00,1510.00
Os165_XL,385.00,1895.00,1510.00
Os165_2XL,385.00,1895.00,1510.00
Os165_3XL,385.00,1895.00,1510.00
Os159_S,385.00,1895.00,1510.00
Os159_M,385.00,1895.00,1510.00
Os159_L,385.00,1895.00,1510.00
Os159_XL,385.00,1895.00,1510.00
Os159_2XL,385.00,1895.00,1510.00
Os159_3XL,385.00,1895.00,1510.00
Os155_S,395.00,1895.00,1500.00
Os155_M,395.00,1895.00,1500.00
