sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os193_1062_XL,2395.00,2395.00,2395.00,0.00
Os193_1062_2XL,2395.00,2395.00,2395.00,0.00
Os193_1062_3XL,2395.00,2395.00,2395.00,0.00
Os205_1054_S,2395.00,2395.00,2395.00,0.00
Os205_1054_M,2395.00,2395.00,2395.00,0.00
Os205_1054_L,2395.00,2395.00,2395.00,0.00
Os205_1054_XL,2395.00,2395.00,2395.00,0.00
Os205_1054_2XL,2395.00,2395.00,2395.00,0.00
Os205_1054_3XL,2395.00,2395.00,2395.00,0.00
Os203_1100_S,2395.00,2395.00,2395.00,0.00
Os203_1100_M,2395.00,2395.00,2395.00,0.00
Os203_1100_L,2395.00,2395.00,2395.00,0.00
Os203_1100_XL,2395.00,2395.00,2395.00,0.00
Os203_1100_2XL,2395.00,2395.00,2395.00,0.00
Os203_1100_3XL,2395.00,2395.00,2395.00,0.00
Os204_3091_S,2395.00,2395.00,2395.00,0.00
Os204_3091_M,2395.00,2395.00,2395.00,0.00
Os204_3091_L,2395.00,2395.00,2395.00,0.00
Os204_3091_XL,2395.00,2395.00,2395.00,0.00
Os204_3091_2XL,2395.00,2395.00,2395.00,0.00
Os160_S,1695.00,1695.00,1695.00,0.00
Os160_M,1695.00,1695.00,1695.00,0.00
Os160_L,1695.00,1695.00,1695.00,0.00
Os160_XL,1695.00,1695.00,1695.00,0.00
Os160_2XL,1695.00,1695.00,1695.00,0.00
Os160_3XL,1695.00,1695.00,1695.00,0.00
Os162_S,1695.00,1695.00,1695.00,0.00
Os162_M,1695.00,1695.00,1695.00,0.00
Os162_L,1695.00,1695.00,1695.00,0.00
Os162_XL,1695.00,1695.00,1695.00,0.00
Os162_2XL,1695.00,1695.00,1695.00,0.00
